title_current,emp_nat,wage_nat,major,minor,broad,pct_first_all_ceiling,pct_last_all_ceiling,pct_delta_all_ceiling,workers_first_all_ceiling,workers_last_all_ceiling,workers_delta_all_ceiling,pct_first_human_conversation,pct_last_human_conversation,pct_delta_human_conversation,workers_first_human_conversation,workers_last_human_conversation,workers_delta_human_conversation,pct_first_agentic_confirmed,pct_last_agentic_confirmed,pct_delta_agentic_confirmed,workers_first_agentic_confirmed,workers_last_agentic_confirmed,workers_delta_agentic_confirmed,pct_first_all_confirmed,pct_last_all_confirmed,pct_delta_all_confirmed,workers_first_all_confirmed,workers_last_all_confirmed,workers_delta_all_confirmed,pct_first_agentic_ceiling,pct_last_agentic_ceiling,pct_delta_agentic_ceiling,workers_first_agentic_ceiling,workers_last_agentic_ceiling,workers_delta_agentic_ceiling
Maids and Housekeeping Cleaners,854910.00,34660.00,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Building Cleaning Workers,2.80,8.94,6.15,23897.32,76457.91,52560.59,2.80,2.80,0.00,23897.32,23897.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,2.80,0.00,23897.32,23897.32,0.00,1.40,6.15,4.75,11935.67,52560.59,40624.92
"Mail Clerks and Mail Machine Operators, Except Postal Service",62730.00,38150.00,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,"Mail Clerks and Mail Machine Operators, Except Postal Service",17.72,39.02,21.30,11112.91,24476.69,13363.78,17.72,17.72,0.00,11112.91,11112.91,0.00,2.54,8.68,6.15,1590.61,5447.95,3857.34,17.72,22.21,4.50,11112.91,13935.01,2822.10,16.63,32.84,16.21,10432.46,20602.82,10170.36
"Maintenance Workers, Machinery",56540.00,60500.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers",17.99,28.10,10.11,10172.90,15886.58,5713.68,17.99,17.99,0.00,10172.90,10172.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.99,17.99,0.00,10172.90,10172.90,0.00,3.80,13.86,10.06,2146.04,7835.98,5689.94
"Maintenance and Repair Workers, General",1531700.00,48620.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General",20.44,25.12,4.68,313031.85,384740.02,71708.17,20.44,20.80,0.36,313031.85,318519.04,5487.19,0.00,0.00,0.00,0.00,0.00,0.00,20.44,20.80,0.36,313031.85,318519.04,5487.19,3.62,5.63,2.01,55481.10,86269.78,30788.68
"Makeup Artists, Theatrical and Performance",3320.00,50280.00,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,13.92,17.67,3.75,462.22,586.74,124.52,13.92,17.67,3.75,462.22,586.74,124.52,0.00,0.00,0.00,0.00,0.00,0.00,13.92,17.67,3.75,462.22,586.74,124.52,0.35,0.88,0.54,11.45,29.33,17.87
Management Analysts,893900.00,101190.00,Business and Financial Operations Occupations,Business Operations Specialists,Management Analysts,50.37,73.77,23.40,450254.09,659462.28,209208.19,50.37,68.72,18.36,450254.09,614331.22,164077.14,25.26,25.41,0.14,225809.60,227098.73,1289.13,50.37,69.24,18.87,450254.09,618935.48,168681.39,28.71,56.90,28.19,256619.95,508614.94,251994.99
Manicurists and Pedicurists,147820.00,34660.00,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,3.76,16.21,12.45,5563.52,23961.10,18397.58,3.76,4.60,0.83,5563.52,6792.67,1229.16,5.80,5.80,0.00,8568.24,8568.24,0.00,3.76,10.39,6.63,5563.52,15360.92,9797.40,10.85,12.89,2.03,16045.71,19051.02,3005.31
Manufactured Building and Mobile Home Installers,2610.00,41080.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",25.71,26.17,0.46,671.09,682.98,11.89,25.71,26.17,0.46,671.09,682.98,11.89,0.00,0.00,0.00,0.00,0.00,0.00,25.71,26.17,0.46,671.09,682.98,11.89,3.61,4.66,1.05,94.26,121.71,27.45
Manufacturing Engineers,87557.50,101140.00,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety",39.97,63.02,23.05,35000.30,55180.31,20180.01,39.97,45.54,5.56,35000.30,39869.51,4869.21,17.41,21.77,4.36,15243.97,19057.24,3813.27,39.97,53.38,13.41,35000.30,46741.14,11740.84,22.57,45.12,22.56,19758.34,39507.10,19748.76
Marine Engineers and Naval Architects,8440.00,105670.00,Architecture and Engineering Occupations,Engineers,Marine Engineers and Naval Architects,29.69,38.85,9.17,2505.53,3279.29,773.76,29.69,29.69,0.00,2505.53,2505.53,0.00,3.10,5.12,2.02,261.54,431.87,170.33,29.69,29.69,0.00,2505.53,2505.53,0.00,17.81,22.59,4.78,1502.97,1906.72,403.74
Market Research Analysts and Marketing Specialists,430570.00,76950.00,Business and Financial Operations Occupations,Business Operations Specialists,Market Research Analysts and Marketing Specialists,39.84,92.71,52.87,171533.23,399192.59,227659.36,39.84,80.41,40.58,171533.23,346241.35,174708.12,76.75,77.33,0.57,330480.28,332939.66,2459.37,39.84,89.50,49.66,171533.23,385373.12,213839.88,45.98,91.01,45.03,197981.92,391882.78,193900.86
Marketing Managers,384980.00,161030.00,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers,26.75,78.01,51.26,102988.92,300332.30,197343.39,26.75,59.80,33.05,102988.92,230233.37,127244.46,56.95,62.85,5.90,219256.72,241962.38,22705.66,26.75,76.80,50.04,102988.92,295646.35,192657.44,42.36,73.76,31.40,163078.57,283946.64,120868.07
Marriage and Family Therapists,65870.00,63780.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,32.88,64.88,32.01,21655.37,42738.54,21083.17,32.88,45.76,12.89,21655.37,30144.81,8489.44,36.86,37.29,0.43,24278.00,24559.91,281.91,32.88,54.21,21.33,21655.37,35707.60,14052.23,12.40,56.45,44.05,8169.92,37185.29,29015.38
Massage Therapists,96040.00,57950.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Massage Therapists,7.38,22.52,15.14,7085.42,21628.08,14542.67,7.38,15.75,8.37,7085.42,15123.56,8038.15,0.00,8.48,8.48,0.00,8143.51,8143.51,7.38,20.80,13.42,7085.42,19975.47,12890.05,0.00,10.20,10.20,0.00,9796.13,9796.13
Materials Engineers,22770.00,108310.00,Architecture and Engineering Occupations,Engineers,Materials Engineers,24.34,33.29,8.95,5541.41,7579.31,2037.90,24.34,24.60,0.26,5541.41,5600.43,59.03,0.00,0.00,0.00,0.00,0.00,0.00,24.34,25.35,1.01,5541.41,5771.79,230.38,17.20,25.82,8.62,3917.18,5879.24,1962.05
Materials Scientists,8330.00,104160.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Chemists and Materials Scientists,25.58,55.91,30.33,2130.58,4657.45,2526.87,25.58,41.89,16.31,2130.58,3489.12,1358.54,25.63,29.54,3.90,2135.34,2460.59,325.25,25.58,54.28,28.70,2130.58,4521.44,2390.86,10.06,44.89,34.83,838.23,3739.16,2900.92
"Mathematical Science Teachers, Postsecondary",48820.00,79350.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Math and Computer Science Teachers, Postsecondary",33.52,79.60,46.07,16366.78,38858.43,22491.65,33.52,58.46,24.94,16366.78,28541.38,12174.60,39.98,53.52,13.54,19520.54,26130.47,6609.93,33.52,68.09,34.57,16366.78,33242.89,16876.11,25.16,65.45,40.29,12284.03,31951.51,19667.47
Mathematicians,2220.00,121680.00,Computer and Mathematical Occupations,Mathematical Science Occupations,Mathematicians,51.99,76.41,24.42,1154.16,1696.37,542.22,51.99,59.52,7.53,1154.16,1321.34,167.18,33.06,33.71,0.65,733.95,748.34,14.39,51.99,71.19,19.21,1154.16,1580.52,426.36,42.12,69.50,27.39,935.01,1542.98,607.97
"Meat, Poultry, and Fish Cutters and Trimmers",141090.00,37700.00,Production Occupations,Food Processing Workers,"Butchers and Other Meat, Poultry, and Fish Processing Workers",45.01,45.01,0.00,63505.10,63505.10,0.00,45.01,45.01,0.00,63505.10,63505.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.01,45.01,0.00,63505.10,63505.10,0.00,1.82,4.29,2.48,2562.04,6054.72,3492.67
Mechanical Door Repairers,27970.00,51050.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Control and Valve Installers and Repairers,11.38,22.66,11.28,3183.52,6339.04,3155.52,11.38,11.38,0.00,3183.52,3183.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.38,11.38,0.00,3183.52,3183.52,0.00,10.94,11.71,0.77,3059.07,3275.83,216.76
Mechanical Drafters,39900.00,68510.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters,44.39,69.62,25.23,17713.31,27779.94,10066.64,44.39,48.69,4.29,17713.31,19425.83,1712.53,6.90,6.90,0.00,2754.91,2754.91,0.00,44.39,50.12,5.72,17713.31,19995.93,2282.63,51.28,63.75,12.47,20462.40,25435.96,4973.56
Mechanical Engineering Technologists and Technicians,14740.00,68730.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",33.51,44.55,11.04,4939.34,6567.08,1627.74,33.51,33.51,0.00,4939.34,4939.34,0.00,17.12,17.18,0.06,2523.21,2532.05,8.84,33.51,33.51,0.00,4939.34,4939.34,0.00,27.82,37.55,9.73,4100.86,5534.78,1433.92
Mechanical Engineers,99415.00,102320.00,Architecture and Engineering Occupations,Engineers,Mechanical Engineers,36.62,55.70,19.08,36407.22,55375.76,18968.54,36.62,39.60,2.98,36407.22,39372.45,2965.24,19.11,19.23,0.12,18994.05,19113.97,119.92,36.62,45.83,9.21,36407.22,45563.69,9156.47,20.42,44.07,23.64,20302.33,43807.95,23505.63
Mechatronics Engineers,13659.00,117750.00,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,23.04,61.27,38.23,3146.98,8368.50,5221.51,23.04,50.59,27.55,3146.98,6910.69,3763.71,1.02,7.34,6.32,138.71,1002.51,863.80,23.04,50.77,27.73,3146.98,6935.21,3788.23,28.96,45.55,16.59,3955.74,6221.12,2265.38
Media Programming Directors,38771.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",21.73,34.67,12.94,8426.06,13442.39,5016.33,21.73,21.73,0.00,8426.06,8426.06,0.00,17.98,26.93,8.95,6970.11,10441.85,3471.75,21.73,21.73,0.00,8426.06,8426.06,0.00,18.80,27.76,8.97,7287.75,10764.35,3476.59
Media Technical Directors/Managers,24398.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",23.92,40.64,16.72,5835.42,9914.58,4079.16,23.92,23.92,0.00,5835.42,5835.42,0.00,0.00,7.50,7.50,0.00,1828.64,1828.64,23.92,23.92,0.00,5835.42,5835.42,0.00,15.80,30.24,14.45,3853.71,7378.16,3524.45
Medical Appliance Technicians,11490.00,47060.00,Production Occupations,Other Production Occupations,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,8.97,8.97,0.00,1031.10,1031.10,0.00,8.97,8.97,0.00,1031.10,1031.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.97,8.97,0.00,1031.10,1031.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Medical Assistants,793460.00,44200.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,17.88,58.99,41.11,141870.05,468068.56,326198.52,17.88,29.17,11.29,141870.05,231450.80,89580.75,11.59,22.57,10.99,91928.55,179121.42,87192.87,17.88,50.91,33.03,141870.05,403979.36,262109.31,27.94,51.98,24.04,221716.14,412430.26,190714.13
Medical Dosimetrists,3970.00,138110.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians,32.41,49.52,17.11,1286.87,1966.01,679.14,32.41,32.41,0.00,1286.87,1286.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.41,32.41,0.00,1286.87,1286.87,0.00,22.07,31.25,9.18,876.11,1240.53,364.41
Medical Equipment Preparers,72760.00,46490.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,0.97,9.56,8.59,705.82,6955.72,6249.90,0.97,0.97,0.00,705.82,705.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.97,0.00,705.82,705.82,0.00,8.59,8.59,0.00,6249.90,6249.90,0.00
Medical Equipment Repairers,60830.00,62630.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers,29.43,45.06,15.63,17899.95,27407.27,9507.32,29.43,29.86,0.43,17899.95,18163.16,263.21,15.50,15.50,0.00,9429.63,9429.63,0.00,29.43,37.28,7.86,17899.95,22678.60,4778.65,10.79,27.36,16.57,6564.79,16643.28,10078.49
Medical Records Specialists,115042.12,58521.52,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Medical Records Specialists,38.67,66.64,27.98,44484.87,76669.01,32184.15,38.67,38.67,0.00,44484.87,44484.87,0.00,18.55,18.61,0.06,21343.91,21413.25,69.34,38.67,38.67,0.00,44484.87,44484.87,0.00,37.41,62.50,25.08,43040.05,71898.13,28858.08
"Medical Scientists, Except Epidemiologists",156300.00,100590.00,"Life, Physical, and Social Science Occupations",Life Scientists,Medical Scientists,35.02,51.99,16.97,54729.95,81257.06,26527.10,35.02,39.83,4.82,54729.95,62258.13,7528.17,0.00,4.31,4.31,0.00,6733.59,6733.59,35.02,43.05,8.04,54729.95,67294.08,12564.12,18.35,34.02,15.67,28686.92,53175.97,24489.05
Medical Secretaries and Administrative Assistants,830760.00,44640.00,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,31.36,73.25,41.88,260566.70,608508.61,347941.91,31.36,31.36,0.00,260566.70,260566.70,0.00,35.18,46.95,11.76,292276.36,390011.98,97735.62,31.36,31.36,0.00,260566.70,260566.70,0.00,61.53,69.94,8.41,511144.48,581031.93,69887.45
Medical Transcriptionists,43070.00,37550.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,16.39,82.69,66.30,7059.50,35613.29,28553.79,16.39,62.52,46.13,7059.50,26927.55,19868.05,35.16,49.88,14.72,15142.81,21484.21,6341.39,16.39,75.29,58.90,7059.50,32429.42,25369.92,39.03,79.49,40.46,16812.20,34237.30,17425.11
Medical and Clinical Laboratory Technicians,85760.00,61890.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians,22.11,51.19,29.08,18962.96,43898.66,24935.70,22.11,38.92,16.81,18962.96,33380.18,14417.22,5.15,5.15,0.00,4415.27,4415.27,0.00,22.11,39.30,17.19,18962.96,33707.73,14744.77,10.75,26.53,15.78,9218.66,22754.39,13535.73
Medical and Clinical Laboratory Technologists,42880.00,61890.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians,34.93,56.09,21.16,14979.99,24052.85,9072.86,34.93,38.26,3.33,14979.99,16406.32,1426.33,30.13,34.28,4.15,12920.50,14699.62,1779.13,34.93,52.46,17.52,14979.99,22492.96,7512.97,10.46,49.26,38.80,4487.25,21122.80,16635.55
Medical and Health Services Managers,565840.00,117960.00,Management Occupations,Other Management Occupations,Medical and Health Services Managers,33.34,65.06,31.72,188651.38,368154.77,179503.40,33.34,44.33,10.99,188651.38,250836.93,62185.55,24.97,25.69,0.71,141298.46,145342.87,4044.41,33.34,47.27,13.93,188651.38,267480.24,78828.86,31.70,51.43,19.73,179359.42,291016.78,111657.36
"Meeting, Convention, and Event Planners",134670.00,59440.00,Business and Financial Operations Occupations,Business Operations Specialists,"Meeting, Convention, and Event Planners",21.11,70.12,49.00,28434.86,94424.74,65989.88,21.11,51.29,30.18,28434.86,69078.05,40643.19,42.68,48.73,6.05,57480.40,65628.25,8147.85,21.11,60.62,39.51,28434.86,81642.44,53207.58,18.02,67.74,49.71,24270.03,91220.93,66950.90
Mental Health Counselors,161811.67,60200.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,28.78,63.13,34.34,46576.41,102144.16,55567.75,28.78,49.43,20.65,46576.41,79987.84,33411.43,20.80,40.82,20.02,33649.36,66044.00,32394.64,28.78,57.59,28.80,46576.41,93181.03,46604.62,15.03,51.61,36.58,24315.61,83503.19,59187.58
Mental Health and Substance Abuse Social Workers,125910.00,60060.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,22.05,51.92,29.88,27760.60,65378.56,37617.96,22.05,39.44,17.39,27760.60,49659.62,21899.03,12.00,30.86,18.86,15109.21,38853.43,23744.21,22.05,51.92,29.88,27760.60,65378.56,37617.96,14.03,37.46,23.42,17669.88,47159.76,29489.88
Merchandise Displayers and Window Trimmers,192480.00,37350.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers,37.34,49.75,12.41,71876.88,95767.40,23890.51,37.34,38.94,1.60,71876.88,74958.26,3081.38,0.00,0.00,0.00,0.00,0.00,0.00,37.34,38.94,1.60,71876.88,74958.26,3081.38,15.92,28.69,12.76,30651.18,55219.78,24568.60
Metal-Refining Furnace Operators and Tenders,20330.00,55770.00,Production Occupations,Metal Workers and Plastic Workers,"Metal Furnace Operators, Tenders, Pourers, and Casters",17.97,30.58,12.62,3652.63,6217.74,2565.11,17.97,17.97,0.00,3652.63,3652.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.97,17.97,0.00,3652.63,3652.63,0.00,8.32,15.94,7.62,1691.52,3240.45,1548.93
"Meter Readers, Utilities",19620.00,49180.00,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Meter Readers, Utilities",28.00,48.12,20.12,5493.45,9441.03,3947.58,28.00,29.13,1.13,5493.45,5715.55,222.10,22.27,22.84,0.57,4369.19,4481.62,112.43,28.00,42.77,14.77,5493.45,8390.83,2897.38,28.29,39.93,11.64,5550.52,7835.16,2284.64
Microbiologists,19760.00,87330.00,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists,30.33,57.54,27.21,5992.40,11369.97,5377.57,30.33,45.35,15.03,5992.40,8961.62,2969.22,23.15,29.10,5.96,4573.92,5750.88,1176.96,30.33,55.44,25.11,5992.40,10954.56,4962.16,6.91,33.28,26.38,1364.58,6577.00,5212.42
Microsystems Engineers,23080.00,117750.00,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,27.10,53.12,26.02,6254.37,12259.35,6004.98,27.10,37.35,10.25,6254.37,8620.51,2366.15,15.92,20.51,4.59,3673.79,4732.67,1058.88,27.10,43.17,16.07,6254.37,9963.27,3708.91,23.18,41.42,18.24,5350.59,9559.80,4209.22
"Middle School Teachers, Except Special and Career/Technical Education",620370.00,62970.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Elementary and Middle School Teachers,25.03,71.70,46.67,155282.70,444793.51,289510.81,25.03,56.74,31.71,155282.70,351978.95,196696.26,34.20,43.46,9.26,212158.06,269626.88,57468.82,25.03,63.59,38.56,155282.70,394502.78,239220.09,13.23,55.47,42.24,82050.19,344094.17,262043.98
Midwives,36970.00,64030.00,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers,20.49,37.18,16.69,7576.44,13744.98,6168.54,20.49,27.73,7.24,7576.44,10252.24,2675.80,3.76,14.62,10.86,1389.38,5403.65,4014.27,20.49,31.44,10.95,7576.44,11623.96,4047.51,7.94,23.24,15.30,2935.63,8592.53,5656.90
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",13810.00,48310.00,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",19.76,30.95,11.18,2729.34,4273.69,1544.35,19.76,19.76,0.00,2729.34,2729.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.76,19.76,0.00,2729.34,2729.34,0.00,6.12,14.47,8.35,845.45,1998.36,1152.91
Millwrights,40660.00,65170.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers",14.86,15.88,1.02,6043.24,6457.86,414.63,14.86,14.86,0.00,6043.24,6043.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.86,14.86,0.00,6043.24,6043.24,0.00,1.21,3.33,2.12,490.49,1353.24,862.75
"Mining and Geological Engineers, Including Mining Safety Engineers",6770.00,101020.00,Architecture and Engineering Occupations,Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,36.10,10.92,1705.08,2444.10,739.01,25.19,25.19,0.00,1705.08,1705.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.19,25.19,0.00,1705.08,1705.08,0.00,20.84,24.06,3.22,1411.16,1629.16,218.00
"Mixing and Blending Machine Setters, Operators, and Tenders",100840.00,47680.00,Production Occupations,Other Production Occupations,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",13.84,28.25,14.41,13958.22,28490.93,14532.71,13.84,18.49,4.65,13958.22,18642.33,4684.11,6.18,11.50,5.32,6233.97,11597.57,5363.59,13.84,22.50,8.66,13958.22,22692.70,8734.48,4.42,17.25,12.84,4452.17,17395.79,12943.63
