title_current,employment,median_wage,major,minor,broad,job_zone,outlook,pct_all_ceiling,tier_all_ceiling,workers_all_ceiling,pct_human_conversation,tier_human_conversation,workers_human_conversation,pct_agentic_confirmed,tier_agentic_confirmed,workers_agentic_confirmed,pct_all_confirmed,tier_all_confirmed,workers_all_confirmed,pct_agentic_ceiling,tier_agentic_ceiling,workers_agentic_ceiling
"Mail Clerks and Mail Machine Operators, Except Postal Service",62730.00,38150.00,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,"Mail Clerks and Mail Machine Operators, Except Postal Service",2.00,2.00,39.02,restructuring,24476.69,17.72,low,11112.91,8.68,low,5447.95,22.21,restructuring,13935.01,32.84,restructuring,20602.82
"Maintenance Workers, Machinery",56540.00,60500.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers",3.00,4.00,28.10,restructuring,15886.58,17.99,low,10172.90,0.00,low,0.00,17.99,low,10172.90,13.86,low,7835.98
"Maintenance and Repair Workers, General",1531700.00,48620.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General",3.00,3.00,25.12,restructuring,384740.02,20.80,restructuring,318519.04,0.00,low,0.00,20.80,restructuring,318519.04,5.63,low,86269.78
"Makeup Artists, Theatrical and Performance",3320.00,50280.00,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,3.00,2.00,17.67,low,586.74,17.67,low,586.74,0.00,low,0.00,17.67,low,586.74,0.88,low,29.33
Management Analysts,893900.00,101190.00,Business and Financial Operations Occupations,Business Operations Specialists,Management Analysts,4.00,4.00,73.77,high,659462.28,68.72,high,614331.22,25.41,restructuring,227098.73,69.24,high,618935.48,56.90,moderate,508614.94
Manicurists and Pedicurists,147820.00,34660.00,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,2.00,1.00,16.21,low,23961.10,4.60,low,6792.67,5.80,low,8568.24,10.39,low,15360.92,12.89,low,19051.02
Manufactured Building and Mobile Home Installers,2610.00,41080.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",2.00,2.00,26.17,restructuring,682.98,26.17,restructuring,682.98,0.00,low,0.00,26.17,restructuring,682.98,4.66,low,121.71
Manufacturing Engineers,87557.50,101140.00,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety",4.00,4.00,63.02,high,55180.31,45.54,moderate,39869.51,21.77,restructuring,19057.24,53.38,moderate,46741.14,45.12,moderate,39507.10
Marine Engineers and Naval Architects,8440.00,105670.00,Architecture and Engineering Occupations,Engineers,Marine Engineers and Naval Architects,4.00,5.00,38.85,restructuring,3279.29,29.69,restructuring,2505.53,5.12,low,431.87,29.69,restructuring,2505.53,22.59,restructuring,1906.72
Market Research Analysts and Marketing Specialists,430570.00,76950.00,Business and Financial Operations Occupations,Business Operations Specialists,Market Research Analysts and Marketing Specialists,4.00,4.00,92.71,high,399192.59,80.41,high,346241.35,77.33,high,332939.66,89.50,high,385373.12,91.01,high,391882.78
Marketing Managers,384980.00,161030.00,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers,4.00,5.00,78.01,high,300332.30,59.80,moderate,230233.37,62.85,high,241962.38,76.80,high,295646.35,73.76,high,283946.64
Marriage and Family Therapists,65870.00,63780.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,5.00,4.00,64.88,high,42738.54,45.76,moderate,30144.81,37.29,restructuring,24559.91,54.21,moderate,35707.60,56.45,moderate,37185.29
Massage Therapists,96040.00,57950.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Massage Therapists,3.00,4.00,22.52,restructuring,21628.08,15.75,low,15123.56,8.48,low,8143.51,20.80,restructuring,19975.47,10.20,low,9796.13
Materials Engineers,22770.00,108310.00,Architecture and Engineering Occupations,Engineers,Materials Engineers,4.00,4.00,33.29,restructuring,7579.31,24.60,restructuring,5600.43,0.00,low,0.00,25.35,restructuring,5771.79,25.82,restructuring,5879.24
Materials Scientists,8330.00,104160.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Chemists and Materials Scientists,4.00,4.00,55.91,moderate,4657.45,41.89,moderate,3489.12,29.54,restructuring,2460.59,54.28,moderate,4521.44,44.89,moderate,3739.16
"Mathematical Science Teachers, Postsecondary",48820.00,79350.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Math and Computer Science Teachers, Postsecondary",5.00,4.00,79.60,high,38858.43,58.46,moderate,28541.38,53.52,moderate,26130.47,68.09,high,33242.89,65.45,high,31951.51
Mathematicians,2220.00,121680.00,Computer and Mathematical Occupations,Mathematical Science Occupations,Mathematicians,5.00,5.00,76.41,high,1696.37,59.52,moderate,1321.34,33.71,restructuring,748.34,71.19,high,1580.52,69.50,high,1542.98
"Meat, Poultry, and Fish Cutters and Trimmers",141090.00,37700.00,Production Occupations,Food Processing Workers,"Butchers and Other Meat, Poultry, and Fish Processing Workers",1.00,1.00,45.01,moderate,63505.10,45.01,moderate,63505.10,0.00,low,0.00,45.01,moderate,63505.10,4.29,low,6054.72
Mechanical Door Repairers,27970.00,51050.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Control and Valve Installers and Repairers,2.00,3.00,22.66,restructuring,6339.04,11.38,low,3183.52,0.00,low,0.00,11.38,low,3183.52,11.71,low,3275.83
Mechanical Drafters,39900.00,68510.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters,3.00,4.00,69.62,high,27779.94,48.69,moderate,19425.83,6.90,low,2754.91,50.12,moderate,19995.93,63.75,high,25435.96
Mechanical Engineering Technologists and Technicians,14740.00,68730.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",3.00,3.00,44.55,moderate,6567.08,33.51,restructuring,4939.34,17.18,low,2532.05,33.51,restructuring,4939.34,37.55,restructuring,5534.78
Mechanical Engineers,99415.00,102320.00,Architecture and Engineering Occupations,Engineers,Mechanical Engineers,4.00,5.00,55.70,moderate,55375.76,39.60,restructuring,39372.45,19.23,low,19113.97,45.83,moderate,45563.69,44.07,moderate,43807.95
Mechatronics Engineers,13659.00,117750.00,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,4.00,5.00,61.27,high,8368.50,50.59,moderate,6910.69,7.34,low,1002.51,50.77,moderate,6935.21,45.55,moderate,6221.12
Media Programming Directors,38771.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",4.00,2.00,34.67,restructuring,13442.39,21.73,restructuring,8426.06,26.93,restructuring,10441.85,21.73,restructuring,8426.06,27.76,restructuring,10764.35
Media Technical Directors/Managers,24398.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",4.00,2.00,40.64,moderate,9914.58,23.92,restructuring,5835.42,7.50,low,1828.64,23.92,restructuring,5835.42,30.24,restructuring,7378.16
Medical Appliance Technicians,11490.00,47060.00,Production Occupations,Other Production Occupations,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,3.00,2.00,8.97,low,1031.10,8.97,low,1031.10,0.00,low,0.00,8.97,low,1031.10,0.00,low,0.00
Medical Assistants,793460.00,44200.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,3.00,2.00,58.99,moderate,468068.56,29.17,restructuring,231450.80,22.57,restructuring,179121.42,50.91,moderate,403979.36,51.98,moderate,412430.26
Medical Dosimetrists,3970.00,138110.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians,4.00,5.00,49.52,moderate,1966.01,32.41,restructuring,1286.87,0.00,low,0.00,32.41,restructuring,1286.87,31.25,restructuring,1240.53
Medical Equipment Preparers,72760.00,46490.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,2.00,2.00,9.56,low,6955.72,0.97,low,705.82,0.00,low,0.00,0.97,low,705.82,8.59,low,6249.90
Medical Equipment Repairers,60830.00,62630.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers,3.00,4.00,45.06,moderate,27407.27,29.86,restructuring,18163.16,15.50,low,9429.63,37.28,restructuring,22678.60,27.36,restructuring,16643.28
Medical Records Specialists,115042.12,58521.52,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Medical Records Specialists,3.00,4.00,66.64,high,76669.01,38.67,restructuring,44484.87,18.61,low,21413.25,38.67,restructuring,44484.87,62.50,high,71898.13
"Medical Scientists, Except Epidemiologists",156300.00,100590.00,"Life, Physical, and Social Science Occupations",Life Scientists,Medical Scientists,5.00,5.00,51.99,moderate,81257.06,39.83,restructuring,62258.13,4.31,low,6733.59,43.05,moderate,67294.08,34.02,restructuring,53175.97
Medical Secretaries and Administrative Assistants,830760.00,44640.00,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,2.00,3.00,73.25,high,608508.61,31.36,restructuring,260566.70,46.95,moderate,390011.98,31.36,restructuring,260566.70,69.94,high,581031.93
Medical Transcriptionists,43070.00,37550.00,Healthcare Support Occupations,Other Healthcare Support Occupations,Miscellaneous Healthcare Support Occupations,3.00,1.00,82.69,high,35613.29,62.52,high,26927.55,49.88,moderate,21484.21,75.29,high,32429.42,79.49,high,34237.30
Medical and Clinical Laboratory Technicians,85760.00,61890.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians,3.00,4.00,51.19,moderate,43898.66,38.92,restructuring,33380.18,5.15,low,4415.27,39.30,restructuring,33707.73,26.53,restructuring,22754.39
Medical and Clinical Laboratory Technologists,42880.00,61890.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians,4.00,4.00,56.09,moderate,24052.85,38.26,restructuring,16406.32,34.28,restructuring,14699.62,52.46,moderate,22492.96,49.26,moderate,21122.80
Medical and Health Services Managers,565840.00,117960.00,Management Occupations,Other Management Occupations,Medical and Health Services Managers,4.00,5.00,65.06,high,368154.77,44.33,moderate,250836.93,25.69,restructuring,145342.87,47.27,moderate,267480.24,51.43,moderate,291016.78
"Meeting, Convention, and Event Planners",134670.00,59440.00,Business and Financial Operations Occupations,Business Operations Specialists,"Meeting, Convention, and Event Planners",4.00,3.00,70.12,high,94424.74,51.29,moderate,69078.05,48.73,moderate,65628.25,60.62,high,81642.44,67.74,high,91220.93
Mental Health Counselors,161811.67,60200.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors,5.00,4.00,63.13,high,102144.16,49.43,moderate,79987.84,40.82,moderate,66044.00,57.59,moderate,93181.03,51.61,moderate,83503.19
Mental Health and Substance Abuse Social Workers,125910.00,60060.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,5.00,4.00,51.92,moderate,65378.56,39.44,restructuring,49659.62,30.86,restructuring,38853.43,51.92,moderate,65378.56,37.46,restructuring,47159.76
Merchandise Displayers and Window Trimmers,192480.00,37350.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers,3.00,2.00,49.75,moderate,95767.40,38.94,restructuring,74958.26,0.00,low,0.00,38.94,restructuring,74958.26,28.69,restructuring,55219.78
Metal-Refining Furnace Operators and Tenders,20330.00,55770.00,Production Occupations,Metal Workers and Plastic Workers,"Metal Furnace Operators, Tenders, Pourers, and Casters",2.00,4.00,30.58,restructuring,6217.74,17.97,low,3652.63,0.00,low,0.00,17.97,low,3652.63,15.94,low,3240.45
"Meter Readers, Utilities",19620.00,49180.00,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Meter Readers, Utilities",2.00,2.00,48.12,moderate,9441.03,29.13,restructuring,5715.55,22.84,restructuring,4481.62,42.77,moderate,8390.83,39.93,restructuring,7835.16
Microbiologists,19760.00,87330.00,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists,4.00,3.00,57.54,moderate,11369.97,45.35,moderate,8961.62,29.10,restructuring,5750.88,55.44,moderate,10954.56,33.28,restructuring,6577.00
Microsystems Engineers,23080.00,117750.00,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,5.00,5.00,53.12,moderate,12259.35,37.35,restructuring,8620.51,20.51,restructuring,4732.67,43.17,moderate,9963.27,41.42,moderate,9559.80
"Middle School Teachers, Except Special and Career/Technical Education",620370.00,62970.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Elementary and Middle School Teachers,4.00,5.00,71.70,high,444793.51,56.74,moderate,351978.95,43.46,moderate,269626.88,63.59,high,394502.78,55.47,moderate,344094.17
Midwives,36970.00,64030.00,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers,5.00,2.00,37.18,restructuring,13744.98,27.73,restructuring,10252.24,14.62,low,5403.65,31.44,restructuring,11623.96,23.24,restructuring,8592.53
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",13810.00,48310.00,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",2.00,2.00,30.95,restructuring,4273.69,19.76,low,2729.34,0.00,low,0.00,19.76,low,2729.34,14.47,low,1998.36
Millwrights,40660.00,65170.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers",2.00,4.00,15.88,low,6457.86,14.86,low,6043.24,0.00,low,0.00,14.86,low,6043.24,3.33,low,1353.24
"Mining and Geological Engineers, Including Mining Safety Engineers",6770.00,101020.00,Architecture and Engineering Occupations,Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers",4.00,4.00,36.10,restructuring,2444.10,25.19,restructuring,1705.08,0.00,low,0.00,25.19,restructuring,1705.08,24.06,restructuring,1629.16
"Mixing and Blending Machine Setters, Operators, and Tenders",100840.00,47680.00,Production Occupations,Other Production Occupations,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",2.00,2.00,28.25,restructuring,28490.93,18.49,low,18642.33,11.50,low,11597.57,22.50,restructuring,22692.70,17.25,low,17395.79
"Mobile Heavy Equipment Mechanics, Except Engines",180270.00,63980.00,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,3.00,4.00,27.06,restructuring,48777.98,20.33,restructuring,36648.45,3.08,low,5559.45,21.83,restructuring,39344.61,13.31,low,23994.20
"Model Makers, Metal and Plastic",3230.00,62700.00,Production Occupations,Metal Workers and Plastic Workers,"Model Makers and Patternmakers, Metal and Plastic",3.00,3.00,27.13,restructuring,876.26,16.98,low,548.61,0.00,low,0.00,16.98,low,548.61,20.32,restructuring,656.19
